"Parent","Child"
"Jehiel","Hiel"
"Jemima","Jemma"
"Jerita","Rita"
"Jessica","Jess"
"Joanna","Jane"
"Joseph","Joe"
"Joshua","Josh"
"Josiah","Jos"
"Juanita","Nita"
"Judson","Jud"
"Julias","Julius"
"Junior","Jr"
"Justin","Justus"
"Karonhappuck","Karon"
"Katherine","Kathleen"
"Kendra","Kenj"
"Kenneth","Ken"
"Lafayette","Left"
"Laodicia","Cenia"
"Laurinda","Laura"
"Laverne","Verna"
"Lawrence","Lars"
"Lemuel","Lem"
"Leonard","Leo"
"Leonora","Loenore"
"Leslie","Les"
"Lester","Les"
"Libuse","Liba"
"Lillian","Lil"
"Lincoln","Link"
"Lionel","Leon"
"Littleberry","Little"
"Lorenzo","Loren"
"Loretta","Etta"
"Loretta","Retta"
"Lorraine","Rana"
"Lousie","Eloise"
"Luciana","Lucia"
"Lucias","Lucas"
"Lucille","Ceall"
"Lucretia","Crese"
"Luella","Ella"
"Lurana","Lura"
"Luthor","Luke"
"Lyndon","Lynn"
"Magdelina","Madge"
"Malcolm","Mac"
"Manerva","Minerva"
"Manoah","Noah"
"Manuel","Emanuel"
"Marcus","Mark"
"Margaret","Greta"
"Margarita","Margauerite"
"Marianna","Ann"
"Martha","Mart"
"Marvin","Marv"
"Maryanne","Maryanna"
"Matilda","Mat"
"Matthew","Matt"
"Maxine","Max"
"Mehitabel","Mabel"
"Melinda","Linda"
"Melissa","Lisa"
"Melvina","Vina"
"Merlin","Merlyn"
"Mervyn","Merv"
"Micajah","Cager"
"Mildred","Mell"
"Minerva","Mina"
"Mitchell","Mitch"
"Montgomery","Montesque"
"Muriel","Mur"
"Myrtle","Mert"
"Nadine","DeeDee"
"Napoleon","Nap"
"Nathaniel","Nat"
"Nelson","Nels"
"Newton","Newt"
"Norbert","Bert"
"Obadiah","Diah"
"Obedience","Obed"
"Oberon","Obe"
"Octavia","Tave"
"Olivia","Livia"
"Orlando","Roland"
"Ophelia","Phelia"
"Othello","Otis"
"Pamela","Pam"
"Pandora","Dora"
"Paulina","Paula"
"Pheney","Josephine"
"Philadelphia","Puss"
"Philetus","Phil"
"Philinda","Phyllis"
"Philip","Phil"
"Pleasant","Pleas"
"Prescott","Scott"
"Priscilla","Cilla"
"Quince","Quint"
"Rachel","Rae"
"Ramona","Mona"
"Randolph","Randall"
"Raphael","Raff"
"Raymond","Ray"
"Regina","Gina"
"Relief","Leafa"
"Reuben","Rube"
"Richard","Dick"
"Robert","Dob"
"Roberta","Bert"
"Rodney","Rod"
"Roland","Orlando"
"Ronald","Ron"
"Rosabella","Belle"
"Rosalyn","Rosalinda"
"Rudolphus","Adolf"
"Russell","Russ"
"Sabrina","Brina"
"Salvador","Sal"
"Sampson","Samson"
"Serilla","Rilla"
"Sheridan","Dan"
"Shirley","Lee"
"Sibbilla","Sibyl"
"Sigismund","Sig"
"Solomon","Sal"
"Sophronia","Fronia"
"Stephen","Steve"
"Susannah","Hannah"
"Sylvester","Sy"
"Terrance","Terence"
"Thaddeus","Tad"
"Theodore","Ted"
"Theodosia","Theo"
"Theophilus","Theo"
"Theresa","Therese"
"Thomasine","Tamzine"
"Timothy","Tim"
"Tryphena","Phena"
"Vanessa","Nessa"
"Vincent","Vin"
"Virginia","Ginger"
"Vladimir","Volodia"
"Webster","Webb"
"Wilfred","Fred"
"Wilhelmina","Mina"
"William","Bill"
"Winfield","Field"
"Woodrow","Wood"
"Yolanda","Yolonda"
"Zachariah","Zacharias"
"Zebedee","Zeb"
"Zebulon","Lon"
"Zedediah","Zed"
"Zelphia","Zel"
"Zepaniah","Zeph"
"Aaron","Ron"
"Abel","Abe"
"Abiel","Biel"
"Abijah","Bige"
"Abner","Ab"
"Abraham","Abram"
"Adaline","Adela"
"Adam","Ade"
"Adelaide","Adaline"
"Adelbert","Delbert"
"Adelphia","Dell"
"Agatha","Ag"
"Alanson","Lanson"
"Albert","Bert"
"Alberta","Albertine"
"Aleva","Leve"
"Alexandria","Sandra"
"Alfred","Alf"
"Alfreda","Frieda"
"Alice","Alicia"
"Almena","Mena"
"Alonzo","Alphonzo"
"Alphinias","Phineas"
"Amanda","Manda"
"Amos","Moses"
"Andrew","Drew"
"Angela","Angelina"
"Anna","Ann"
"Anselm","Ance"
"Anthony","Antonio"
"Antoinette","Ann"
"Aphrodite","Dyce"
"Arabella","Belle"
"Archibald","Baldo"
"Armena","Mena"
"Asaph","Asa"
"Asenath","Sene"
"Augustus","Gustus"
"Aurelia","Orilla"
"Azariah","Riah"
"Barbara","Barb"
"Barnabas","Bernard"
"Bartholomew","Bat"
"Bedelia","Bridgit"
"Belinda","Belle"
"Beverly","Bev"
"Brian","Bryan"
"Caleb","Cal"
"Calvin","Vin"
"Caroline","Carole"
"Cedrick","Rick"
"Charles","Carl"
"Chesley","Chet"
"Chloe","Clo"
"Christian","Kit"
"Christopher","Kit"
"Clarissa","Clair"
"Cordelia","Adelaide"
"Cornelia","Nelle"
"Cornelius","Cono"
"Curtis","Kurtis"
"Cynthia","Lucinda"
"Cyrenius","Renius"
"Cyrus","Cy"
"Dalton","Dal"
"Delbert","Del"
"Delilah","Della"
"Demerias","Dimmis"
"Denise","Denyse"
"Dennis","Dennison"
"Derrick","Rick"
"Desiree","Desree"
"Diana","Diane"
"Dominic","Nick"
"Duane","Dewayne"
"Edmund","Ned"
"Edward","Ned"
"Edwin","Ed"
"Egbert","Burt"
"Eleanor","Ella"
"Electra","Lecta"
"Elijah","Lige"
"Elizabeth","Beth"
"Elmira","Myra"
"Elsie","Alice"
"Emanuel","Manuel"
"Eric","Rick"
"Estella","Stella"
"Eugenia","Gene"
"Evaline","Eve"
"Evelyn","Eve"
"Ezekiel","Zeke"
"Ezra","Ez"
"Faith","Fay"
"Felicity","Felicia"
"Fidelia","Delia"
"Florence","Floss"
"Floyd","Lloyd"
"Gabrielle","Gabriella"
"Georgia","Gee"
"Gilbert","Gib"
"Gregory","Gregg"
"Hannah","Nan"
"Helena","Aileen"
"Henry","Hal"
"Hepsabah","Hephsibah"
"Herbert","Herb"
"Hezekiah","Hy"
"Hiram","Hy"
"Honora","Nora"
"Hopkins","Hopp"
"Hubert","Hugo"
"Ignatius","Nate"
"Irene","Rena"
"Irvin","Irving"
"Irwin","Erwin"
"Isaac","Ike"
"Isabella","Belle"
"Isaiah","Zay"
"Jacob","Jake"
"Jacqueline","Jaclyn"
"Jane","Janet"
"Jedediah","Jed"
"Jehu","Jayhugh"
"Jeremiah","Jereme"
"Jessica","Jesse"
"Joanna","Jean"
"John","Hans"
"Jonathan","Jonathan"
"Joseph","Joey"
"Josephine","Jo"
"Joshua","Jos"
"Josiah","Si"
"Joyce","Joy"
"Julia","Jill"
"Julias","Julian"
"Junior","June"
"Keziah","Kizza"
"Kimberly","Kim"
"King","Kingston"
"Lavinia","Wyncha"
"Lawrence","Laurence"
"Leonard","Leon"
"Leonora","Elenor"
"Leroy","Lee"
"Leslie","Lester"
"Letitia","Lettice"
"Levi","Lee"
"Lois","Heloise"
"Loretta","Laura"
"Luann","Luanne"
"Louis","Lewis"
"Lousie","Elouise"
"Lucias","Luke"
"Lucille","Cille"
"Lucretia","Crece"
"Luella","Lu"
"Madeline","Madge"
"Magdelina","Magda"
"Malcolm","Mal"
"Manerva","Nerva"
"Margaret","Madge"
"Marianna","Marianne"
"Marla","Mar"
"Marylou","Lulu"
"Marvin","Merv"
"Mary","Mae"
"Maryanne","Marianna"
"Matilda","Tilda"
"Matthew","Matthias"
"Maurice","Morris"
"Mavine","Mave"
"Melissa","Mel"
"Merlin","Merle"
"Michael","Mike"
"Miranda","Mira"
"Moses","Amos"
"Myrtle","Myrt"
"Nadine","Nada"
"Nancy","Agnes"
"Nicholas","Claas"
"Noel","Nowell"
"Obadiah","Dyer"
"Obedience","Bede"
"Octavia","Tavia"
"Odell","Odo"
"Olivia","Olive"
"Ophelia","Orphelia"
"Oswald","Waldo"
"Othello","Ote"
"Patrick","Pat"
"Peter","Pete"
"Pharaba","Pherbia"
"Philip","Pip"
"Philipina","Phililpa"
"Priscilla","Ciller"
"Prudence","Prue"
"Quince","Quinn"
"Rachel","Ray"
"Raphael","Ralph"
"Rebecca","Reba"
"Regina","Ray"
"Reginald","Reynold"
"Rhodella","Dell"
"Richard","Rich"
"Robert","Dobbin"
"Roger","Hodge"
"Roland","Rowland"
"Rosabella","Rosa"
"Rosalyn","Rosa"
"Rudolphus","Dolf"
"Rufina","Refina"
"Sabrina","Sybrina"
"Sampson","Sam"
"Samuel","Sam"
"Selina","Celina"
"Sharon","Sharyn"
"Shaun","Sean"
"Sheila","Cecilia"
"Sibbilla","Cibyl"
"Sidney","Sid"
"Silas","Si"
"Simeon","Sim"
"Solomon","Salmon"
"Sophronia","Sophia"
"Stephen","Steven"
"Sullivan","Van"
"Susannah","Sue"
"Sylvester","Syl"
"Tasha","Tash"
"Thaddeus","Thad"
"Theodore","Theodrick"
"Theodosia","Theodora"
"Thomas","Thom"
"Tilford","Ford"
"Tobias","Tobe"
"Uriah","Riah"
"Vanessa","Van"
"Victor","Vic"
"Vincent","Vince"
"Violet","Viola"
"Virgil","Virg"
"Vivian","Vi"
"Waldo","Oswald"
"Walter","Wat"
"Wesley","Wes"
"Wilber","Wib"
"William","Will"
"Winfield","Win"
"Winton","Wint"
"Woodrow","Drew"
"Yulan","Lan"
"Zadock","Dick"
"Zebulon","Zeb"
"Zedediah","Diah"
"Zelphia","Zella"
"Abel","Ab"
"Abiel","Ab"
"Abigail","Gail"
"Abijah","Abiah"
"Adaline","Aline"
"Adelaide","Adeline"
"Adelbert","Bert"
"Adelphia","Delphina"
"Agnes","Ann"
"Aileen","Lena"
"Alanson","Alan"
"Albert","Bird"
"Alexander","Ec"
"Alexandria","Alexandra"
"Alice","Elicia"
"Alonzo","Lon"
"Alphinias","Finnius"
"Amelia","Mel"
"Anderson","Ance"
"Angela","Angeline"
"Anna","Anne"
"Anselm","Ansel"
"Anthony","Antoine"
"Aphrodite","Dyche"
"Aquilla","Acuilla"
"Arabella","Arabelle"
"Archibald","Arch"
"Asaph","Asahel"
"Aurelia","Ora"
"Aurilla","Orilla"
"Azariah","Azarich"
"Barry","Bar"
"Bartholomew","Mees"
"Bedelia","Fidelia"
"Belinda","Linda"
"Bertha","Bert"
"Brian","Bryant"
"Cameron","Ron"
"Casey","KC"
"Celinda","Lynn"
"Charles","Chad"
"Charlotte","Lotta"
"Christiana","Tina"
"Clarissa","Clara"
"Cordelia","Bedelia"
"Curtis","Kurt"
"Cynthia","Cinthia"
"Cyrenius","Serene"
"Cyrus","Si"
"Daniel","Danial"
"David","Dave"
"Deborah","Debora"
"Delbert","Dilbert"
"Delilah","Lil"
"Delores","Lola"
"Demerias","Damaris"
"Diana","Di"
"Dorothy","Dot"
"Duane","Dwayne"
"Edmund","Ted"
"Edward","Ted"
"Edwin","Ned"
"Elaine","Alaina"
"Eleanor","Ellen"
"Elias","Lee"
"Elijah","Lig"
"Elsie","Elizabeth"
"Emanuel","Immanuel"
"Emeline","Lina"
"Estella","Estelle"
"Evaline","Lena"
"Evelyn","Evelina"
"Frances","Fran"
"Francis","Frankisek"
"Frederica","Ricka"
"Frederick","Frish"
"Genevieve","Eve"
"Gertrude","Gert"
"Gilbert","Gil"
"Harold","Hank"
"Helena","Eileen"
"Henry","Hank"
"Hepsabah","Hebsabeth"
"Hezekiah","Kiah"
"Honora","Norah"
"Hubert","Bert"
"Ignatius","Natius"
"Isaac","Zeke"
"Isabella","Elizabeth"
"Jacob","Jaap"
"Jacqueline","Jacklyn"
"James","Jim"
"Jedediah","Jedidiah"
"Jehu","Gee"
"Jemima","Mima"
"Joanna","Joan"
"John","Ian"
"Jonathan","Nathan"
"Joseph","Jos"
"Josephine","Joey"
"Julias","Jule"
"Katherine","Kat"
"Kenneth","Kendall"
"Keziah","Kid"
"Kimberly","Kym"
"Lavinia","Lavina"
"Leonard","Len"
"Leonora","Nora"
"Leroy","Roy"
"Letitia","Titia"
"Linda","Lynn"
"Lois","Louise"
"Lotta","Charlotte"
"Luann","Louanne"
"Louis","Lou"
"Lousie","Louise"
"Lucinda","Lu"
"Luella","Lula"
"Magdelina","Magdalen"
"Marianna","Anne"
"Marylou","Lou"
"Martha","Mat"
"Marvin","Mervyn"
"Matthew","Thias"
"Maureen","Rena"
"Melinda","Mel"
"Michael","Mitchell"
"Minerva","Nerva"
"Moses","Mose"
"Nancy","Ann"
"Nathaniel","Nathan"
"Nicholas","Claes"
"Nicolena","Nicolene"
"Noel","Knowell"
"Obadiah","Obe"
"Patricia","Tricia"
"Paulina","Lina"
"Peter","Pate"
"Pharaba","Pheriba"
"Prudence","Pru"
"Rachel","Raech"
"Rebecca","Becca"
"Reginald","Renaldo"
"Rhodella","Della"
"Richard","Rick"
"Robert","Bob"
"Roger","Hodgekin"
"Ronald","Naldo"
"Rosabella","Rose"
"Rosalyn","Rose"
"Rudolphus","Dolph"
"Rufina","Fina"
"Sarah","Sal"
"Selina","Lena"
"Seymour","Seymore"
"Shaun","Shawn"
"Sheldon","Shelton"
"Sheridan","Sher"
"Shirley","Shirl"
"Simeon","Simon"
"Solomon","Sol"
"Stephen","Steph"
"Susannah","Susan"
"Tamara","Temera"
"Theodore","Theodorick"
"Theodosia","Dora"
"Theresa","Tess"
"Thomas","Tom"
"Valentina","Valeda"
"Veronica","Ronna"
"Victor","Vick"
"Violet","Vi"
"Virginia","Jane"
"Walter","Walt"
"Wilber","Will"
"Wilfred","Will"
"Winifred","Winnet"
"Yulan","Yul"
"Zachariah","Zeke"
"Zadock","Dock"
"Zedediah","Dyer"
"Aaron","Erin"
"Abel","Eb"
"Abijah","Ab"
"Adaline","Edith"
"Adam","Ad"
"Adelaide","Della"
"Adelbert","Ad"
"Agatha","Agnes"
"Aileen","Eileen"
"Alanson","Lonson"
"Albert","Elbert"
"Alberta","Bert"
"Alexandria","Lexa"
"Alfred","Fred"
"Alfreda","Freda"
"Alonzo","Lonzo"
"Amelia","Melia"
"Anderson","Andre"
"Antoinette","Netta"
"Aphrodite","Eppa"
"Aquilla","Quilla"
"Arabella","Anabelle"
"Archibald","Archelous"
"Azariah","Tiah"
"Barry","Bear"
"Bartholomew","Meus"
"Beatrice","Trix"
"Bedelia","Phidelia"
"Belinda","Lynne"
"Brian","Ryan"
"Bridget","Delia"
"Cecilia","Cilla"
"Christiana","Xina"
"Clarissa","Clare"
"Cordelia","Fedelia"
"Cornelia","Nelia"
"Cornelius","Niel"
"Cyrenius","Swene"
"David","Day"
"Deborah","Debbe"
"Delilah","Lila"
"Delores","Dell"
"Derrick","Dirch"
"Dorothy","Dotha"
"Duane","Dwane"
"Edith","Edna"
"Edward","Edgar"
"Edwin","Win"
"Elaine","Elaina"
"Eleanor","Helen"
"Elias","Lias"
"Elizabeth","Elis"
"Evelyn","Evelyn"
"Frances","Sis"
"Francis","Franklin"
"Frederica","Frieda"
"Frederick","Fritz"
"Gabrilla","Gabrielle"
"Genevieve","Jean"
"Gilbert","Wilber"
"Hannah","Susannah"
"Helena","Elaine"
"Henrietta","Retta"
"Hepsabah","Hepsabel"
"Hubert","Hub"
"Isabella","Ib"
"Jacob","Jay"
"Jacqueline","Jaclin"
"James","Jameson"
"Jefferson","Geoff"
"Jehu","Hugh"
"John","Ivan"
"Julia","Juliet"
"Kenneth","Kendrick"
"Lavinia","Ina"
"Lawrence","Lon"
"Leonora","Lee"
"Leroy","LR"
"Letitia","Tish"
"Loretta","Retta"
"Lotta","Charlotta"
"Luann","Louann"
"Louis","Louie"
"Lousie","Heloise"
"Lucille","Lu"
"Lucinda","Lou"
"Madeline","Maud"
"Magdelina","Maida"
"Mary","Marietta"
"Maryanne","Ann"
"Matthew","Thys"
"Mehitabel","Bella"
"Michael","Micah"
"Mindwell","Wilhelmina"
"Moses","Moss"
"Nancy","Nan"
"Nathaniel","Nate"
"Nicholas","Nicodemus"
"Nicolena","Nicolina"
"Obadiah","Obed"
"Patrick","Peter"
"Paulina","Pauline"
"Prudence","Puss"
"Rebecca","Beck"
"Reginald","Naldo"
"Roger","Rodger"
"Roland","Rollo"
"Ronald","Ronaldo"
"Rosabella","Roz"
"Rosalyn","Linda"
"Rudolphus","Rolf"
"Sabrina","Rena"
"Samuel","Samantha"
"Sharon","Shar"
"Shaun","Shane"
"Sheldon","Shel"
"Sibbilla","Sibbell"
"Sidney","Syd"
"Simeon","Si"
"Sylvester","Vet"
"Tamara","Tamarra"
"Theodore","Tad"
"Tobias","Bias"
"Tryphena","Pheobe"
"Tryphosia","Tryphenia"
"Vanessa","Vanna"
"Vincent","Vinson"
"Wilber","Wilbur"
"Wilhelmina","Wilma"
"Winifred","Wenefred"
"Zadock","Melchizedek"
"Aaron","Ronald"
"Abigail","Tabitha"
"Abijah","Biah"
"Adelaide","Heide"
"Adelbert","Ade"
"Alexander","Al"
"Alexandria","Xan"
"Angela","Jane"
"Anna","Hannah"
"Aphrodite","Epaphroditus"
"Arabella","Bell"
"Arnold","Ronald"
"Barbara","Bab"
"Belinda","Lyn"
"Brian","Rian"
"Caroline","Lynn"
"Charles","Chick"
"Charlotte","Char"
"Christiana","Christina"
"Cornelius","Neal"
"Deborah","Debi"
"Edward","Edmund"
"Edwina","Edward"
"Eleanor","Lanna"
"Elizabeth","Elissa"
"Emeline","Em"
"Eudora","Dorothy"
"Francis","Franz"
"Genevieve","Gen"
"Helena","Eleanor"
"Henry","Hen"
"Jacob","Jacobus"
"Jacqueline","Jacklin"
"James","Jem"
"Jennifer","Winifred"
"Jerita","Margarita"
"Joanna","Johanna"
"John","Jack"
"Joseph","Josefa"
"Josephine","Fina"
"Kenneth","Kent"
"Lavinia","Vina"
"Leonard","Lineau"
"Lillian","Lillah"
"Linda","Lynette"
"Loretta","Lorraine"
"Luann","Lulu"
"Lousie","Eliza"
"Lucille","Lou"
"Margaret","Marge"
"Margarita","Rosarita"
"Marianna","Maria"
"Mary","Marion"
"Maryanne","Anne"
"Mehitabel","Mehetable"
"Melinda","Lynne"
"Melissa","Lissa"
"Michael","Mick"
"Mindwell","Minerva"
"Montgomery","Lamont"
"Nancy","Nance"
"Nathaniel","Than"
"Patience","Patricia"
"Patricia","Trish"
"Patrick","Patricia"
"Philinda","Belinda"
"Priscilla","Silla"
"Richard","Dickon"
"Robert","Rob"
"Roger","Roge"
"Rosalyn","Roz"
"Rudolphus","Rollo"
"Sabrina","Serena"
"Sarah","Sara"
"Shaun","Shayne"
"Simeon","Sion"
"Susannah","Suzanne"
"Sylvester","Vest"
"Theodore","Theo"
"Theresa","Thursa"
"Vanessa","Essa"
"William","Bell"
"Winifred","Fred"
"Zachariah","Rye"
"Zadock","Zed"
"Adaline","Dell"
"Adelaide","Adele"
"Adelbert","Elbert"
"Agnes","Inez"
"Alberta","Elbert"
"Alexander","Eleck"
"Alexandria","Alex"
"Alice","Lisa"
"Angela","Lena"
"Anna","Nan"
"Aphrodite","Epaphroditius"
"Augusta","Tina"
"Augustus","August"
"Broderick","Richard"
"Caroline","Carolyn"
"Charles","Chuck"
"Christiana","Kris"
"Clarissa","Claire"
"Deborah","Debra"
"Delores","Della"
"Dorothy","Dode"
"Eleanor","Leonora"
"Emeline","Emma"
"Fidelia","Delia"
"Genevieve","Neva"
"Gerald","Jeremiah"
"Helena","Ellen"
"Henry","Hence"
"Isabella","Nib"
"Jacob","Jeb"
"Jane","Joan"
"Jerita","Rosarita"
"John","Jan"
"Josiah","Joseph"
"Katherine","Kate"
"Leonard","Lenhart"
"Linda","Linette"
"Luann","Lou"
"Lousie","Lois"
"Madeline","Magda"
"Margaret","Margo"
"Marianna","Mia"
"Mary","Maureen"
"Matilda","Maud"
"Mehitabel","Mehitable"
"Patricia","Tish"
"Patrick","Pate"
"Philinda","Linda"
"Richard","Dickson"
"Robert","Robin"
"Rodney","Roger"
"Roger","Rod"
"Rosalyn","Rose"
"Solomon","Saul"
"Sylvester","Vester"
"Veronica","Ron"
"William","Bela"
"Adaline","Delia"
"Adelaide","Dell"
"Agnes","Nessa"
"Alexander","Sasha"
"Alice","Alison"
"Amelia","Parmelia"
"Arabella","Isabella"
"Augusta","Gus"
"Charles","Karl"
"Edmund","Edward"
"Eleanor","Nell"
"Elsie","Elizabeth"
"Emeline","Emeline"
"Eric","Derrick"
"Fidelia","Cordelia"
"Harold","Henry"
"Helena","Lena"
"Isabella","Sabe"
"Jane","Joanna"
"Jessica","Jane"
"Joanna","Joannah"
"John","Jean"
"Jonathan","Nathaniel"
"Lavinia","Louvina"
"Lawrence","Lorne"
"Luann","Ann"
"Lousie","Lou"
"Luciana","Lucinda"
"Madeline","Maida"
"Margaret","Peg"
"Marylou","Mary"
"Mary","May"
"Matilda","Mathilda"
"Maureen","Mary"
"Mehitabel","Mehetabel"
"Philinda","Philinda"
"Robert","Rupert"
"Rodney","Reginald"
"Rosalyn","Linda"
"Rudolphus","Rudolph"
"Selina","Sabrina"
"Sharon","Sheron"
"Susannah","Susanna"
"Theodosia","Theodore"
"Virginia","Gen"
"Winfield","Winifred"
"Zedediah","Jedediah"
"Adaline","Lena"
"Adelphia","Adeline"
"Aileen","Eileen"
"Albert","Adelbert"
"Alexandria","Sasha"
"Arabella","Mehitabel"
"Augusta","August"
"Bedelia","Delia"
"Caroline","Carolina"
"Charles","Karel"
"Christiana","Xena"
"Dorothy","Dortha"
"Edmund","Sigismund"
"Edwin","Edward"
"Elaine","Eleanor"
"Elizabeth","Liz"
